number,seed_title_match,discovered_from_issue_timeline,enriched
20,True,False,False
26,True,False,False
383,True,True,False
386,True,False,False
389,False,True,False
405,True,False,False
410,True,False,False
413,True,False,False
436,True,False,False
1001,True,False,False
1002,True,False,False
1026,True,False,False
1079,True,False,False
1141,True,False,False
1235,True,False,False
1412,True,False,False
1562,True,True,False
1643,True,False,False
1650,True,False,False
1774,False,True,False
1804,True,False,False
2184,True,False,False
2309,True,False,False
2343,True,False,False
2406,True,False,False
2413,False,True,False
2456,True,False,False
2484,True,False,False
2730,False,True,False
2732,False,True,False
2783,False,True,False
2855,True,False,False
3050,False,True,False
3086,False,True,False
3207,True,False,False
3765,False,True,False
3924,True,False,False
4069,True,False,False
4081,True,False,False
4333,True,False,False
4842,True,True,False
4987,True,False,False
4998,True,False,False
5353,False,True,False
5727,True,False,False
5776,True,False,False
5884,True,False,False
6103,True,False,False
6116,True,False,False
6173,True,False,False
6317,True,False,False
6322,True,False,False
6350,True,False,False
6475,True,False,False
6482,True,False,False
6492,True,False,False
6494,True,False,False
6848,True,False,False
6962,True,False,False
6982,True,False,False
7036,True,False,False
7039,True,False,False
7119,True,False,False
7211,True,False,False
7281,True,False,False
7400,True,False,False
7803,True,False,False
8002,True,False,False
8004,True,False,False
8226,True,False,False
8228,True,False,False
8369,True,False,False
8576,True,False,False
8612,True,False,False
8613,True,False,False
8645,True,False,False
8652,True,False,False
8715,True,False,False
8755,True,False,False
8806,True,False,False
8952,True,False,False
8953,True,False,False
9197,True,False,False
9202,True,False,False
9215,True,False,False
9219,True,False,False
9224,True,False,False
9262,True,False,False
9330,True,False,False
9656,True,False,False
9666,True,False,False
9680,True,False,False
9709,True,False,False
9746,True,False,False
9798,True,False,False
9865,True,False,False
9928,True,False,False
9931,True,False,False
10066,True,False,False
10106,True,False,False
10110,True,False,False
10222,True,False,False
10252,True,False,False
10384,True,False,False
10387,True,False,False
10390,True,False,False
10553,True,False,False
10591,True,False,False
10711,True,False,False
10826,True,False,False
10833,True,False,False
10855,True,False,False
10875,True,False,False
10963,True,False,False
10965,True,False,False
