number,state,title,url,created_at,updated_at,closed_at,merged_at,user,labels,seed_title_match,discovered_from_issue_timeline,referenced_seed_issues_in_body,base_ref,head_ref,merged,changed_files,additions,deletions,files_downloaded,reviews_downloaded,review_comments_downloaded,issue_comments_downloaded,body_excerpt
20,closed,ci: Run tests 3 times to reduce flakes,https://github.com/coder/coder/pull/20,2022-01-13T17:16:57Z,2022-01-13T18:05:40Z,2022-01-13T18:05:40Z,2022-01-13T18:05:40Z,kylecarbs,,True,False,,main,peerflake,True,3,16,9,3,3,2,4,
26,closed,test: Increase disconnectTimeout to reduce test flakes,https://github.com/coder/coder/pull/26,2022-01-14T14:24:58Z,2026-05-15T11:52:49Z,2022-01-14T16:12:07Z,2022-01-14T16:12:07Z,kylecarbs,,True,False,,main,disctime,True,2,5,2,2,3,2,3,"WebRTC uses UDP, which means a network connection is never open or closed. It uses timeouts to determine connection state; on a slow CI runner, these timeouts could be reached. Increasing this timeout should reduce flakes, but is unlikely to remove this flake entirely."
383,closed,test: Fix test flake panic in provisionerd,https://github.com/coder/coder/pull/383,2022-02-28T19:49:27Z,2022-02-28T21:10:35Z,2022-02-28T21:10:34Z,2022-02-28T21:10:34Z,kylecarbs,,True,True,382,main,fixflake,True,1,1,0,1,1,0,1,Closes #382.
386,closed,test: Fix flake with context.Cancelled in provisionerd,https://github.com/coder/coder/pull/386,2022-03-01T01:45:41Z,2022-03-01T01:56:55Z,2022-03-01T01:56:54Z,2022-03-01T01:56:54Z,kylecarbs,,True,False,,main,fixflakectx,True,1,1,3,1,1,0,1,"This occurred because the context can cancel in the same time a response is sent. This isn't a bug, because the complete still occurs. https://github.com/coder/coder/runs/5366075943?check_suite_focus=true#step:7:56"
389,closed,test: Add mutex to opening PostgreSQL ports to prevent collision,https://github.com/coder/coder/pull/389,2022-03-01T18:04:16Z,2022-03-01T18:36:08Z,2022-03-01T18:36:07Z,2022-03-01T18:36:07Z,kylecarbs,,False,True,388,main,dockerport,True,1,10,0,1,4,3,1,Closes #388.
405,closed,fix: Test flake for resolving instance identity auth,https://github.com/coder/coder/pull/405,2022-03-08T00:05:14Z,2022-03-08T00:38:32Z,2022-03-08T00:38:31Z,2022-03-08T00:38:31Z,kylecarbs,,True,False,,main,identityflake,True,1,2,1,1,1,0,1,https://github.com/coder/coder/runs/5457125307?check_suite_focus=true#step:7:45
410,closed,fix: MacOS PTY flake when reading after command exists,https://github.com/coder/coder/pull/410,2022-03-08T15:37:42Z,2022-03-08T15:49:10Z,2022-03-08T15:49:09Z,2022-03-08T15:49:09Z,kylecarbs,,True,False,,main,fixmactty,True,1,0,3,1,1,0,1,"The TTY wasn't buffering properly because the FD was closed. I did this initially to clone how creack/pty handles it, but it's unnecessary because we get the entire PTY back to close. I tested this on my Mac by adding a `time.Sleep` between spawning a command and reading its output, and the `io.EOF` occurred every time."
413,closed,fix: Update ICE dependency to fix test flake,https://github.com/coder/coder/pull/413,2022-03-08T18:27:47Z,2022-03-08T18:57:29Z,2022-03-08T18:57:29Z,2022-03-08T18:57:29Z,kylecarbs,,True,False,,main,icedepup,True,2,6,4,2,1,0,1,https://github.com/coder/coder/runs/5468864058?check_suite_focus=true#step:7:148
436,closed,fix: Test flake when installing yarn dependencies on MacOS,https://github.com/coder/coder/pull/436,2022-03-14T18:15:15Z,2022-03-22T18:13:06Z,2022-03-14T18:49:49Z,2022-03-14T18:49:49Z,bryphe-coder,,True,False,,main,bryphe/fix/433/install-timeout,True,2,9,0,2,2,1,2,"This fixes #433 - a test flake in E2E (intermittent `ESOCKETTIMEDOUT` errors on MacOS). The main issue is that, occasionally, for very large dependencies (like `@material-ui/icons`) - yarn can actually time out! We researched this in-depth in v1: https://github.com/coder/m/pull/10040 and fixed it successfully there, by increasing the timeout for yarn. However, this also highlighted the fact that our `node_modules` caching behavior wasn't correct - we should very rarely see a timeout issue like t"
1001,closed,fix: GitSSH test flake on slow CI runs,https://github.com/coder/coder/pull/1001,2022-04-14T15:25:12Z,2022-04-14T16:38:55Z,2022-04-14T16:38:54Z,2022-04-14T16:38:54Z,kylecarbs,,True,False,,main,gitsshflake,True,1,13,20,1,1,0,2,"There was a 5s timeout on the context, which was occasionally hit during slow runs. See: https://github.com/coder/coder/runs/6025622326?check_suite_focus=true I also removed the AWS authentication, because it added to the test time for key-generation and such."
