number,kind,state,title,url,created_at,updated_at,closed_at,user,labels,comments,matched_queries
132,issue,closed,Test Reliability: Investigate flake in conn_test.go (TestConn),https://github.com/coder/coder/issues/132,2022-02-01T21:16:41Z,2022-06-14T04:43:39Z,2022-02-04T01:44:43Z,bryphe-coder,api,1,issues-flake-title
382,issue,closed,Fix provisionerd test flake panic,https://github.com/coder/coder/issues/382,2022-02-28T19:18:14Z,2022-06-14T04:41:51Z,2022-02-28T21:10:34Z,kylecarbs,api,0,issues-flake-title
388,issue,closed,Investigate test flake for allocating ports with PostgreSQL Docker,https://github.com/coder/coder/issues/388,2022-03-01T16:19:34Z,2022-06-14T04:41:51Z,2022-03-01T18:36:07Z,kylecarbs,api,0,issues-flake-title
998,issue,closed,Bug: Flake tests for coder / test/go (windows-2022) job,https://github.com/coder/coder/issues/998,2022-04-13T17:56:42Z,2022-06-14T00:00:20Z,2022-04-28T19:14:24Z,BrunoQuaresma,,1,issues-flake-title
1368,issue,closed,Bug: test flake - Test/go/PostgreSQL TestWorkspaceAgentPTY ,https://github.com/coder/coder/issues/1368,2022-05-10T18:01:22Z,2022-06-03T03:18:25Z,2022-05-18T17:06:18Z,spikecurtis,api,7,issues-flake-title
1644,issue,closed,flake: peer TestConn/Buffering,https://github.com/coder/coder/issues/1644,2022-05-20T21:12:56Z,2022-06-03T03:18:38Z,2022-05-30T14:25:32Z,johnstcn,api,2,issues-flake-title
1698,issue,closed,`TestPortForward/UDP/TwoPorts` test flake,https://github.com/coder/coder/issues/1698,2022-05-23T22:46:05Z,2022-08-12T08:42:36Z,2022-08-12T08:42:17Z,coadler,api,3,issues-flake-title
2335,issue,closed,test flake: coderd/devtunnel TestTunnel,https://github.com/coder/coder/issues/2335,2022-06-14T23:59:06Z,2022-07-22T15:26:41Z,2022-07-22T15:26:41Z,spikecurtis,api,2,issues-flake-title
2347,issue,closed,CI test/go/postgres is flaky,https://github.com/coder/coder/issues/2347,2022-06-15T15:56:08Z,2022-06-21T16:25:02Z,2022-06-21T16:25:02Z,spikecurtis,api,12,issues-flaky-title
2475,issue,closed,cli test flake TestServer/Telemetry,https://github.com/coder/coder/issues/2475,2022-06-17T18:05:08Z,2022-08-24T15:32:27Z,2022-08-24T15:32:27Z,spikecurtis,api,1,issues-flake-title
2603,issue,closed,streaming job logs race condition means not all logs are returned / TestDelete flake,https://github.com/coder/coder/issues/2603,2022-06-23T04:27:45Z,2022-07-01T21:07:19Z,2022-07-01T21:07:19Z,spikecurtis,api,1,issues-flake-title
2617,issue,closed,test/go/postgres test flakes,https://github.com/coder/coder/issues/2617,2022-06-23T20:22:26Z,2022-08-24T15:42:00Z,2022-08-24T15:42:00Z,f0ssel,api,0,issues-flake-title
2709,issue,closed,Test flake: coderd TestUsersFilter,https://github.com/coder/coder/issues/2709,2022-06-28T21:57:39Z,2022-07-11T15:37:38Z,2022-07-11T15:37:38Z,spikecurtis,api,3,issues-flake-title
2759,issue,closed,Test Flake: TestSSH/ImmediateExit,https://github.com/coder/coder/issues/2759,2022-06-30T17:47:09Z,2022-08-12T08:37:50Z,2022-08-12T08:37:50Z,sreya,,1,issues-flake-title
3420,issue,closed,`TestServer/Prometheus` test flake,https://github.com/coder/coder/issues/3420,2022-08-08T22:24:09Z,2022-09-23T18:38:39Z,2022-09-23T18:38:39Z,spikecurtis,cli,2,issues-flake-title
3747,issue,closed,test flake: data race in TestFeaturesService_EntitlementsAPI,https://github.com/coder/coder/issues/3747,2022-08-30T11:38:36Z,2023-09-02T12:17:23Z,2022-08-31T00:17:58Z,johnstcn,,0,issues-flake-title
4607,issue,closed,flake: TestReplica/TwentyConcurrent,https://github.com/coder/coder/issues/4607,2022-10-17T22:58:35Z,2022-11-01T20:28:36Z,2022-11-01T20:28:36Z,sreya,,0,issues-flake-title
4660,issue,closed,flake: metrics cache tests,https://github.com/coder/coder/issues/4660,2022-10-20T01:23:27Z,2022-10-20T02:36:02Z,2022-10-20T02:36:02Z,sreya,,1,issues-flake-title
5159,issue,closed,Fix flake test TestProvisionerd/ReconnectAndComplete,https://github.com/coder/coder/issues/5159,2022-11-23T20:51:06Z,2022-11-24T12:15:48Z,2022-11-24T12:15:48Z,BrunoQuaresma,,1,issues-flake-title
5161,issue,closed,test flake: coderd/azureidentity TestValidate fails with x509 malformed certificate error,https://github.com/coder/coder/issues/5161,2022-11-23T20:56:46Z,2023-02-01T00:15:36Z,2023-02-01T00:11:33Z,johnstcn,stale,2,issues-flake-title
5187,issue,closed,Flaky: loadtest/reconnectingpty,https://github.com/coder/coder/issues/5187,2022-11-29T14:54:20Z,2022-12-06T13:40:40Z,2022-12-06T13:40:40Z,mtojek,,1,issues-flaky-title
5247,issue,closed,"flaky: gotestsum can't find tag ""--- PASS:""",https://github.com/coder/coder/issues/5247,2022-12-02T10:15:59Z,2022-12-07T14:04:41Z,2022-12-07T14:04:41Z,mtojek,,2,issues-flaky-title
5249,issue,closed,flake: TestWorkspaceApplicationAuth,https://github.com/coder/coder/issues/5249,2022-12-02T11:14:52Z,2022-12-02T22:16:08Z,2022-12-02T22:16:08Z,mtojek,,1,issues-flake-title
5286,issue,closed,flaky: enterprise/replicasync race detected during execution of test,https://github.com/coder/coder/issues/5286,2022-12-05T11:45:19Z,2022-12-05T16:18:17Z,2022-12-05T16:18:17Z,mtojek,,2,issues-flaky-title
5293,issue,closed,flaky: TestAgent tailnet.(*Conn).Close() panics,https://github.com/coder/coder/issues/5293,2022-12-05T16:34:08Z,2022-12-05T22:18:25Z,2022-12-05T22:18:25Z,mtojek,,1,issues-flaky-title
5301,issue,closed,flaky: markdown-link-checker: Status 0,https://github.com/coder/coder/issues/5301,2022-12-06T09:24:01Z,2023-03-15T00:10:45Z,2023-03-15T00:10:45Z,mtojek,stale,3,issues-flaky-title
5302,issue,closed,flaky: wsconncache found unexpected goroutines,https://github.com/coder/coder/issues/5302,2022-12-06T09:39:58Z,2022-12-08T11:48:42Z,2022-12-08T11:48:42Z,mtojek,,2,issues-flaky-title
5309,issue,closed,flaky: WorkspacePage exceeded timeout of 5000 ms for a test,https://github.com/coder/coder/issues/5309,2022-12-06T12:52:58Z,2022-12-09T12:11:38Z,2022-12-09T12:11:38Z,mtojek,,0,issues-flaky-title
5323,issue,closed,flaky: coderd/prometheusmetrics TestWorkspaces/Multiple,https://github.com/coder/coder/issues/5323,2022-12-06T15:20:56Z,2022-12-07T16:50:18Z,2022-12-07T16:50:18Z,mtojek,,0,issues-flaky-title
5328,issue,closed,flaky: templateversions unexpected status code 404: No previous template version,https://github.com/coder/coder/issues/5328,2022-12-06T18:58:27Z,2022-12-07T13:19:20Z,2022-12-07T13:19:20Z,mtojek,,0,issues-flaky-title
5343,issue,closed,flaky: TestWorkspaceAppsNonCanonicalHeaders ,https://github.com/coder/coder/issues/5343,2022-12-08T07:41:40Z,2022-12-08T09:24:53Z,2022-12-08T09:24:53Z,mtojek,,0,issues-flaky-title
5345,issue,closed,flaky: TestProvisionerd/TemplateDryRun,https://github.com/coder/coder/issues/5345,2022-12-08T08:48:43Z,2023-02-13T16:27:26Z,2023-02-13T16:27:26Z,mtojek,,1,issues-flaky-title
6197,issue,closed,chore: test flake: TestTemplateVersionDryRun/OK,https://github.com/coder/coder/issues/6197,2023-02-14T13:21:16Z,2023-05-23T00:10:20Z,2023-05-23T00:10:20Z,johnstcn,stale,1,issues-flake-title
6321,issue,closed,test flake: TestSpeedtest,https://github.com/coder/coder/issues/6321,2023-02-23T15:14:23Z,2024-04-04T18:32:22Z,2024-04-04T18:32:22Z,johnstcn,,3,issues-flake-title
6481,issue,closed,flake: coderd_test.TestTemplateMetrics,https://github.com/coder/coder/issues/6481,2023-03-07T15:21:07Z,2023-06-13T00:10:59Z,2023-06-13T00:10:59Z,deansheather,stale,1,issues-flake-title
6505,issue,closed,test flake: data race in codersdk.Client.DeploymentValues(),https://github.com/coder/coder/issues/6505,2023-03-08T12:03:55Z,2023-06-09T23:21:25Z,2023-06-09T23:21:23Z,johnstcn,s2,1,issues-flake-title
6506,issue,closed,test flake: failed to query providers from Terraform in unit test,https://github.com/coder/coder/issues/6506,2023-03-08T12:24:18Z,2024-04-04T18:31:54Z,2024-04-04T18:31:54Z,johnstcn,s4,5,issues-flake-title
6961,issue,closed,`TestWorkspaceAgent_Metadata` test flake,https://github.com/coder/coder/issues/6961,2023-04-03T04:28:20Z,2023-04-03T04:45:25Z,2023-04-03T04:45:25Z,coadler,,0,issues-flake-title
7302,issue,closed,test flake: data race in TestTunnel,https://github.com/coder/coder/issues/7302,2023-04-27T04:58:22Z,2023-09-21T18:33:16Z,2023-09-21T18:33:14Z,spikecurtis,s4,1,issues-flake-title
7578,issue,closed,flake: TestWorkspaceProxyCRUD/CreateAndUpdate,https://github.com/coder/coder/issues/7578,2023-05-17T01:06:38Z,2023-09-11T15:39:36Z,2023-09-11T15:39:34Z,sreya,s4,1,issues-flake-title
7642,issue,closed,flake: cli TestScaleTestWorkspaceTraffic,https://github.com/coder/coder/issues/7642,2023-05-23T05:19:17Z,2024-03-09T00:04:08Z,2024-03-09T00:04:08Z,spikecurtis,stale;s4,0,issues-flake-title
7643,issue,closed,flake: TestPortForward_None hangs,https://github.com/coder/coder/issues/7643,2023-05-23T05:21:38Z,2023-09-21T21:07:11Z,2023-09-21T21:07:09Z,spikecurtis,s4,1,issues-flake-title
